# **************************************
# CV factory defaults
# D23F0001
# **************************************
cv[181]  :   0, 0x00, 0b00000000, *
cv[182]  :   0, 0x00, 0b00000000, *
cv[183]  : 255, 0xff, 0b11111111, *
cv[184]  : 255, 0xff, 0b11111111, *
cv[185]  :   0, 0x00, 0b00000000, *
cv[186]  :   0, 0x00, 0b00000000, *
cv[187]  : 255, 0xff, 0b11111111, *
cv[188]  : 255, 0xff, 0b11111111, *
cv[189]  :   0, 0x00, 0b00000000, *
cv[190]  :   0, 0x00, 0b00000000, *
cv[191]  : 255, 0xff, 0b11111111, *
cv[192]  : 255, 0xff, 0b11111111, *
cv[193]  :   0, 0x00, 0b00000000, *
cv[194]  :   0, 0x00, 0b00000000, *
cv[195]  : 255, 0xff, 0b11111111, *
cv[196]  :   8, 0x08, 0b00001000, *
cv[197]  :   0, 0x00, 0b00000000, *
cv[198]  :  10, 0x0a, 0b00001010, *
cv[199]  : 255, 0xff, 0b11111111, *
cv[200]  : 135, 0x87, 0b10000111, *
cv[201]  :   3, 0x03, 0b00000011, *
cv[202]  :   0, 0x00, 0b00000000, *
cv[203]  :  32, 0x20, 0b00100000, *
cv[204]  : 224, 0xe0, 0b11100000, *
cv[205]  : 128, 0x80, 0b10000000, *
cv[206]  : 128, 0x80, 0b10000000, *
cv[207]  :  37, 0x25, 0b00100101, *
cv[208]  :  63, 0x3f, 0b00111111, *
cv[209]  :  83, 0x53, 0b01010011, *
cv[210]  :  51, 0x33, 0b00110011, *
cv[211]  :   0, 0x00, 0b00000000, *
cv[212]  :  85, 0x55, 0b01010101, *
cv[213]  : ---, ----, ----------, undefined
cv[214]  : ---, ----, ----------, undefined
cv[215]  : ---, ----, ----------, undefined
cv[216]  : ---, ----, ----------, undefined
cv[217]  : ---, ----, ----------, undefined
cv[218]  : ---, ----, ----------, undefined
cv[219]  : ---, ----, ----------, undefined
cv[220]  : ---, ----, ----------, undefined
cv[221]  : ---, ----, ----------, undefined
cv[222]  : ---, ----, ----------, undefined
cv[223]  : ---, ----, ----------, undefined
cv[224]  : ---, ----, ----------, undefined
cv[225]  : ---, ----, ----------, undefined
cv[226]  : ---, ----, ----------, undefined
cv[227]  : ---, ----, ----------, undefined
cv[228]  : ---, ----, ----------, undefined
cv[229]  : ---, ----, ----------, undefined
cv[230]  : ---, ----, ----------, undefined
cv[231]  : ---, ----, ----------, undefined
cv[232]  : ---, ----, ----------, undefined
cv[233]  : ---, ----, ----------, undefined
cv[234]  : ---, ----, ----------, undefined
cv[235]  : ---, ----, ----------, undefined
cv[236]  : ---, ----, ----------, undefined
cv[237]  : ---, ----, ----------, undefined
cv[238]  : ---, ----, ----------, undefined
cv[239]  : ---, ----, ----------, undefined
cv[240]  : ---, ----, ----------, undefined
cv[241]  : ---, ----, ----------, undefined
cv[242]  : ---, ----, ----------, undefined
cv[243]  : ---, ----, ----------, undefined
cv[244]  : ---, ----, ----------, undefined
cv[245]  : ---, ----, ----------, undefined
cv[246]  : ---, ----, ----------, undefined
cv[247]  : ---, ----, ----------, undefined
cv[248]  : ---, ----, ----------, undefined
cv[249]  : ---, ----, ----------, undefined
cv[250]  : ---, ----, ----------, undefined
cv[251]  : ---, ----, ----------, undefined
cv[252]  : ---, ----, ----------, undefined
cv[253]  : ---, ----, ----------, undefined
cv[254]  : ---, ----, ----------, undefined
cv[255]  : ---, ----, ----------, undefined
cv[256]  : ---, ----, ----------, undefined
cv[257]  :   9, 0x09, 0b00001001, *
cv[258]  :   1, 0x01, 0b00000001, *
cv[259]  : ---, ----, ----------, undefined
cv[260]  : ---, ----, ----------, undefined
cv[261]  :  48, 0x30, 0b00110000, *
cv[262]  : 210, 0xd2, 0b11010010, *
cv[263]  :  13, 0x0d, 0b00001101, *
cv[264]  :   0, 0x00, 0b00000000, *
cv[265]  : 214, 0xd6, 0b11010110, *
cv[266]  :  55, 0x37, 0b00110111, *
cv[267]  :  53, 0x35, 0b00110101, *
cv[268]  : 236, 0xec, 0b11101100, *
cv[269]  :   0, 0x00, 0b00000000, *
cv[270]  :   0, 0x00, 0b00000000, *
cv[271]  :   0, 0x00, 0b00000000, *
cv[272]  :   0, 0x00, 0b00000000, *
cv[273]  :   0, 0x00, 0b00000000, *
cv[274]  :   0, 0x00, 0b00000000, *
cv[275]  :   0, 0x00, 0b00000000, *
cv[276]  :   0, 0x00, 0b00000000, *
cv[277]  :   0, 0x00, 0b00000000, *
cv[278]  :   0, 0x00, 0b00000000, *
cv[279]  :   0, 0x00, 0b00000000, *
cv[280]  :   0, 0x00, 0b00000000, *
cv[281]  :   0, 0x00, 0b00000000, *
cv[282]  :   0, 0x00, 0b00000000, *
cv[283]  :   0, 0x00, 0b00000000, *
cv[284]  :   0, 0x00, 0b00000000, *
cv[285]  :   0, 0x00, 0b00000000, *
cv[286]  :   0, 0x00, 0b00000000, *
cv[287]  :   0, 0x00, 0b00000000, *
cv[288]  :   0, 0x00, 0b00000000, *
cv[289]  :   0, 0x00, 0b00000000, *
cv[290]  :   0, 0x00, 0b00000000, *
cv[291]  :   0, 0x00, 0b00000000, *
cv[292]  :   0, 0x00, 0b00000000, *
cv[293]  :   0, 0x00, 0b00000000, *
cv[294]  :   0, 0x00, 0b00000000, *
cv[295]  :   0, 0x00, 0b00000000, *
cv[296]  :   0, 0x00, 0b00000000, *
cv[297]  :   0, 0x00, 0b00000000, *
cv[298]  :   0, 0x00, 0b00000000, *
cv[299]  :   0, 0x00, 0b00000000, *
cv[300]  :   0, 0x00, 0b00000000, *
cv[301]  :   0, 0x00, 0b00000000, *
cv[302]  :   0, 0x00, 0b00000000, *
cv[303]  :   0, 0x00, 0b00000000, *
cv[304]  :   0, 0x00, 0b00000000, *
cv[305]  :   0, 0x00, 0b00000000, *
cv[306]  :   0, 0x00, 0b00000000, *
cv[307]  :   0, 0x00, 0b00000000, *
cv[308]  :   0, 0x00, 0b00000000, *
cv[309]  :   0, 0x00, 0b00000000, *
cv[310]  :   0, 0x00, 0b00000000, *
cv[311]  :   0, 0x00, 0b00000000, *
cv[312]  :   0, 0x00, 0b00000000, *
cv[313]  :   0, 0x00, 0b00000000, *
cv[314]  :   0, 0x00, 0b00000000, *
cv[315]  :   0, 0x00, 0b00000000, *
cv[316]  :   0, 0x00, 0b00000000, *
cv[317]  :   0, 0x00, 0b00000000, *
cv[318]  :   0, 0x00, 0b00000000, *
cv[319]  :   0, 0x00, 0b00000000, *
cv[320]  :   0, 0x00, 0b00000000, *
cv[321]  :   0, 0x00, 0b00000000, *
cv[322]  : ---, ----, ----------, undefined
cv[323]  : ---, ----, ----------, undefined
cv[324]  : ---, ----, ----------, undefined
cv[325]  : ---, ----, ----------, undefined
cv[326]  : ---, ----, ----------, undefined
cv[327]  : ---, ----, ----------, undefined
cv[328]  :   0, 0x00, 0b00000000, *
cv[329]  :   0, 0x00, 0b00000000, *
cv[330]  :   0, 0x00, 0b00000000, *
cv[331]  :   0, 0x00, 0b00000000, *
cv[332]  :   0, 0x00, 0b00000000, *
cv[333]  :   0, 0x00, 0b00000000, *
cv[334]  : 120, 0x78, 0b01111000, *
cv[335]  :  13, 0x0d, 0b00001101, *
cv[336]  :   1, 0x01, 0b00000001, *
cv[337]  :   0, 0x00, 0b00000000, *
cv[338]  :   0, 0x00, 0b00000000, *
cv[339]  :   0, 0x00, 0b00000000, *
cv[340]  :   0, 0x00, 0b00000000, *
cv[341]  :   0, 0x00, 0b00000000, *
cv[342]  :   0, 0x00, 0b00000000, *
cv[343]  :   0, 0x00, 0b00000000, *
cv[344]  : 116, 0x74, 0b01110100, *
cv[345]  : 116, 0x74, 0b01110100, *
cv[346]  : 116, 0x74, 0b01110100, *
cv[347]  : 116, 0x74, 0b01110100, *
cv[348]  :  58, 0x3a, 0b00111010, *
cv[349]  :  58, 0x3a, 0b00111010, *
cv[350]  :  31, 0x1f, 0b00011111, *
cv[351]  :  54, 0x36, 0b00110110, *
cv[352]  :  24, 0x18, 0b00011000, *
cv[353]  :   0, 0x00, 0b00000000, *
cv[354]  : 135, 0x87, 0b10000111, *
cv[355]  : 118, 0x76, 0b01110110, *
cv[356]  : 118, 0x76, 0b01110110, *
cv[357]  : 128, 0x80, 0b10000000, *
cv[358]  :  16, 0x10, 0b00010000, *
cv[359]  :   0, 0x00, 0b00000000, *
cv[360]  :   0, 0x00, 0b00000000, *
cv[361]  :   2, 0x02, 0b00000010, *
cv[362]  :   2, 0x02, 0b00000010, *
cv[363]  :   0, 0x00, 0b00000000, *
cv[364]  : 255, 0xff, 0b11111111, *
cv[365]  :   7, 0x07, 0b00000111, *
cv[366]  :  30, 0x1e, 0b00011110, *
cv[367]  :  24, 0x18, 0b00011000, *
cv[368]  :   7, 0x07, 0b00000111, *
cv[369]  :   0, 0x00, 0b00000000, *
cv[370]  :   0, 0x00, 0b00000000, *
cv[371]  :   9, 0x09, 0b00001001, *
cv[372]  :   0, 0x00, 0b00000000, *
cv[373]  :  13, 0x0d, 0b00001101, *
cv[374]  :  46, 0x2e, 0b00101110, *
cv[375]  :  52, 0x34, 0b00110100, *
cv[376]  : 129, 0x81, 0b10000001, *
cv[377]  : 239, 0xef, 0b11101111, *
cv[378]  : 195, 0xc3, 0b11000011, *
cv[379]  :   0, 0x00, 0b00000000, *
cv[380]  :   0, 0x00, 0b00000000, *
cv[381]  :  85, 0x55, 0b01010101, *
cv[382]  : ---, ----, ----------, undefined
cv[383]  : ---, ----, ----------, undefined
cv[384]  : ---, ----, ----------, undefined
cv[385]  : ---, ----, ----------, undefined
cv[386]  : ---, ----, ----------, undefined
cv[387]  : ---, ----, ----------, undefined
cv[388]  : ---, ----, ----------, undefined
cv[389]  : ---, ----, ----------, undefined
cv[390]  : ---, ----, ----------, undefined
cv[391]  : ---, ----, ----------, undefined
cv[392]  : ---, ----, ----------, undefined
cv[393]  : ---, ----, ----------, undefined
cv[394]  : ---, ----, ----------, undefined
cv[395]  : ---, ----, ----------, undefined
cv[396]  : ---, ----, ----------, undefined
cv[397]  : ---, ----, ----------, undefined
cv[398]  : ---, ----, ----------, undefined
cv[399]  : ---, ----, ----------, undefined
cv[400]  : ---, ----, ----------, undefined
cv[401]  : ---, ----, ----------, undefined
cv[402]  : ---, ----, ----------, undefined
cv[403]  : ---, ----, ----------, undefined
cv[404]  : ---, ----, ----------, undefined
cv[405]  : ---, ----, ----------, undefined
cv[406]  : ---, ----, ----------, undefined
cv[407]  : ---, ----, ----------, undefined
cv[408]  : ---, ----, ----------, undefined
cv[409]  : ---, ----, ----------, undefined
cv[410]  : ---, ----, ----------, undefined
cv[411]  : ---, ----, ----------, undefined
cv[412]  : ---, ----, ----------, undefined
cv[413]  : ---, ----, ----------, undefined
cv[414]  : ---, ----, ----------, undefined
cv[415]  : ---, ----, ----------, undefined
cv[416]  : ---, ----, ----------, undefined
cv[417]  : ---, ----, ----------, undefined
cv[418]  : ---, ----, ----------, undefined
cv[419]  : ---, ----, ----------, undefined
cv[420]  : ---, ----, ----------, undefined
cv[421]  : ---, ----, ----------, undefined
cv[422]  : ---, ----, ----------, undefined
cv[423]  : ---, ----, ----------, undefined
cv[424]  : ---, ----, ----------, undefined
cv[425]  : ---, ----, ----------, undefined
cv[426]  : ---, ----, ----------, undefined
cv[427]  : ---, ----, ----------, undefined
cv[428]  : ---, ----, ----------, undefined
cv[429]  : ---, ----, ----------, undefined
cv[430]  : ---, ----, ----------, undefined
cv[431]  : ---, ----, ----------, undefined
cv[432]  : ---, ----, ----------, undefined
cv[433]  : ---, ----, ----------, undefined
cv[434]  : ---, ----, ----------, undefined
cv[435]  : ---, ----, ----------, undefined
cv[436]  : ---, ----, ----------, undefined
cv[437]  : ---, ----, ----------, undefined
cv[438]  : ---, ----, ----------, undefined
cv[439]  : ---, ----, ----------, undefined
cv[440]  : ---, ----, ----------, undefined
cv[441]  : ---, ----, ----------, undefined
cv[442]  : ---, ----, ----------, undefined
cv[443]  : ---, ----, ----------, undefined
cv[444]  : ---, ----, ----------, undefined
cv[445]  : ---, ----, ----------, undefined
cv[446]  : ---, ----, ----------, undefined
cv[447]  : ---, ----, ----------, undefined
cv[448]  : ---, ----, ----------, undefined
cv[449]  : ---, ----, ----------, undefined
cv[450]  : ---, ----, ----------, undefined
cv[451]  : ---, ----, ----------, undefined
cv[452]  : ---, ----, ----------, undefined
cv[453]  : ---, ----, ----------, undefined
cv[454]  : ---, ----, ----------, undefined
cv[455]  : ---, ----, ----------, undefined
cv[456]  : ---, ----, ----------, undefined
cv[457]  : ---, ----, ----------, undefined
